Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Ekelschot, Paulus Johannes Maria (Paul)",P126270,1.0,NA,NA,Philips (900) - Bestuurder
"Citroen, Paul Adriaan",P127457,1.0,206,212,STIPP (60792) - Bestuurder
"Kastelein, Maarten",P117540,1.0,206,354,Werk en (re)Integratie (PWRI) (60655) - Bestuurder
Vermeer-Soepnel,P106651,NA,NA,NA,V.O.R. Pensioen B.V. (60442) - Bestuurder
"Elzerman, Hubertus Adrianus",P120995,1.0,206,740,Grafische Bedrijven (PGB) (14089) - Bestuurder
"Sneppen, Eric Jacobus van der",P130256,1.0,NA,NA,YARA (60914) - Bestuurder
"Poelgeest, Neoletta",P111551,0.482,148,171,ABN AMRO Bank (7113) - Bestuurder<br />Detailhandel (47678) - Bestuurder
"Harst, Adriaan van der",P100344,NA,NA,NA,VIBA   (124) - Bestuurder
"Hagenzieker, Mark Anton",P120550,0.597,93,362,Medewerkers Apotheken (15565) - Bestuurder<br />Apothekers (4) - Bestuursvoorzitter
"Roodhorst, Johannes Antoon",P113252,1.0,206,666,Robeco (51180) - Bestuurder
"Jonge, Hubregt de",P114565,1.0,206,844,Heijmans (50555) - Bestuurder
"Thoman, Henri Jacques",P119229,0.33,76,527,Stork (6172) - Bestuurder<br />Grolsch Bierbrouwerij (3053) - Bestuursvoorzitter<br />SNS Reaal  (60701) - Bestuursvoorzitter
"Sikkens, Daniel Eric",P107722,1.0,206,1075,Nedlloyd (47121) - Bestuurder
"Hoppe, Saskia Monique van",P130964,1.0,NA,NA,Sanoma (60873) - Bestuurder
"Ossel, Johannes",P108972,1.0,206,1037,SNS Reaal  (60701) - Bestuurder
"Warmerdam, Gerardus Cornelis Maria",P128435,1.0,206,1121,Achmea (60917) - Bestuurder
"Krot, Sjoerd Alexander",P118065,1.0,NA,NA,Goudse Haven (60627) - Bestuurder
"Hopmans, Antonius Johannes",P111717,1.0,206,831,Randstad (44057) - Bestuurder
"Schagen, Petrus Wilhelmus van",P126178,1.0,206,1157,Aon Groep Nederland (20875) - Bestuurder
"Koolen, Johannes Franciscus",P130910,1.0,NA,NA,McCain (60661) - Bestuurder
"Molster, Jan Wolter",P111527,1.0,NA,NA,Dow (48477) - Bestuurder
"Gelder, Martin de",P105294,0.644,11,28,Zuivel en aanverwante industrie (R129401) - Bestuurder<br />Agrarische (36722) - Actuaris
"Marring, Francisca",P130999,1.0,206,1064,TNO (692) - Bestuurder
"Thomas, Arnold Jozef Maria",P131088,1.0,NA,NA,Dow (48477) - Bestuursvoorzitter
"Odink, Berend Jan",P101545,0.958,197,102,Vleeswaren Prepensionering (60755) - Bestuurder<br />Vleesindustrie (14311) - Bestuurder
"Croonen, Guido Maria Martin",P113909,1.0,206,475,SABIC (60891) - Bestuurder
"Hannema, Jitze",P116988,1.0,206,605,Openbaar Vervoer (60276) - Bestuurder
"Barnhoorn, Robert",P118415,1.0,206,1057,Loodswezen (60465) - Bestuurder
"Hoogenboom, Willem Peter",P110347,1.0,206,88,Slagersbedrijf (10561) - Bestuurder
"Hees, Ronald Maria van",P124636,1.0,206,547,Zorgverzekeraars (23361) - Bestuurder
"Zanden, Cornelus Pieter van",P103884,1.0,NA,NA,Personeelspensioenfonds APG (2392) - Bestuurder
"Rijst, Hendrikus van der",P121196,0.141,1,16,Elsevier (50052) - Bestuurder<br />Protector (1491) - Accountant<br />Mars (34780) - Accountant<br />Vlakglas Verf (17571) - Accountant<br />Betonproducten (15133) - Accountant<br />Technische Groothandel Vroegpensioen (60788) - Accountant<br />Notariaat (13358) - Accountant
"Brocken, Josephus Petrus Maria",P118093,0.487,155,150,Metalektro (PME) (10542) - Bestuurder<br />Metaal en Techniek (PMT) (10557) - Bestuurder
"Bruijne, Mattheus Hendrik Jan de",P110262,1.0,NA,NA,Goudse Haven (60627) - Bestuurder
"Roorda, Marguerite Marie Elisabeth",P131916,1.0,206,1058,Loodswezen (60465) - Bestuurder
"Kastelijn, Wilhelmus Maria",P131432,1.0,206,848,ING (60668) - Bestuurder
"Ubachs, Michiel Marie Gerardus",P104545,1.0,NA,NA,DSM (49417) - Bestuurder
"Dijk, Robertus Gerardus Antonius van",P110522,0.471,104,260,Meubelindustrie (12212) - Bestuurder<br />Recreatie (60799) - Bestuurder
"Lundgren, Elina Victoria",P127244,0.49,71,193,NN CDC fonds (R127943) - Bestuurder<br />Vlakglas Verf (17571) - Bestuurder<br />ING Bank CDC fonds (R127942) - Bestuurder
"Dwarswaard, Jacobus Cornelis",P120246,0.486,183,247,Reisbranche (60709) - Bestuurder<br />Banden- en Wielen (60374) - Bestuurder
"Mars, Marjolein de",P108990,1.0,206,564,Mars (34780) - Bestuurder
"Keetlaer, Anthonus Dignus",P112063,1.0,NA,NA,Forbo (37681) - Bestuurder
"Nuijten, Marcel Jozef Maria",P129061,1.0,206,218,STIPP (60792) - Bestuurder
"Velde, Ebelien Alberta (Eliena) van der",P105378,1.0,206,915,ANWB  (3691) - Bestuurder
"Kleinjan, Dinand Berend Jan",P130987,1.0,206,1186,Ten Cate (60019) - Bestuurder
"Valkenburgh, Tonny",P131649,1.0,NA,NA,AT&T (60800) - Bestuurder
"Beckers, Wilhelmus Nicolaas Caspar",P121271,1.0,206,922,AZL (60011) - Bestuursvoorzitter
"Koudys, George Helmert",P118200,0.329,95,174,Landbouw (10565) - Bestuurder<br />Molenaars (18397) - Bestuurder<br />Sigarenindustrie (10560) - Bestuurder
"Wuijten, Hendrik Jacobus",P109929,0.294,35,48,"Meubelindustrie (12212) - Bestuurder<br />Betonproducten (15133) - Bestuurder<br />Schilders-, Afwerkings- en Glaszetbedrijf (10549) - Bestuurder<br />Security (60523) - Bestuurder"
"Boogaard, Ralph van den",P113818,1.0,NA,NA,Roeiers   (13) - Bestuursvoorzitter
"Knops, Jozef Hubert Marie",P102571,1.0,206,1102,PepsiCo Nederland (60819) - Bestuurder
"Veen, Aalko van der",P106422,1.0,206,310,Metaal en Techniek (PMT) (10557) - Lid Raad van Toezicht
"Gertsen, Hendrikus Frederikus Maria",P125123,1.0,206,427,Landbouw (10565) - Bestuurder
"Eikens, Bernardus Johannes Jozeph",P113297,1.0,206,638,Stork (6172) - Bestuurder
Touw,P117333,1.0,NA,NA,Fluor Nederland (60123) - Bestuursvoorzitter
"Groot, Gerard Thomas Felix Maria",P125557,1.0,NA,NA,Hagee (4654) - Bestuursvoorzitter
"Doorn, Dirk Everardus van",P122046,0.361,97,1202,Roba (4257) - Bestuurder<br />Watson Nederland (60827) - Bestuurder<br />Towers Watson (60527) - Bestuursvoorzitter
"Pol, van der",P121314,1.0,206,775,KLM Vliegend Personeel (2200) - Bestuurder
"Dijkstra, Erik",P102913,1.0,206,172,Vleeswaren Prepensionering (60755) - Bestuurder
"Jonge, Frederik de",P118241,1.0,206,1105,Huysman (102) - Bestuurder
"Katerberg, Thie",P118702,0.292,74,80,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT) (10541) - Bestuurder<br />Textielverzorging (32595) - Bestuursvoorzitter<br />Schoen en Leder (11756) - Bestuurder<br />Schoenmakerij (32181) - Bestuurder"
"Wees, Reinerus Johannes Jacobus van",P117160,1.0,NA,NA,Cargill (60294) - Bestuurder
"Ginkel, Johannes Gijsbertus van",P114869,1.0,206,671,Remia (60291) - Bestuurder
"Jager, Engel de",P114611,1.0,NA,NA,Wijsmuller (50558) - Bestuurder
"Engelen, Johannes Marie Lucien van",P107742,1.0,206,329,Zorg en Welzijn (44862) - Lid Raad van Toezicht
"Oostrom, Hermanus Stephanus Maria van",P117451,1.0,206,842,Heijmans (50555) - Bestuursvoorzitter
"Vulto, Hermanus Theodorus Johannes",P121300,1.0,206,429,Landbouw (10565) - Bestuurder
"Noort, Pieter Frederik van",P107054,1.0,206,704,Atos Origin (60561) - Bestuurder
"Vries, Eiltco Pieter de",P109774,0.647,187,518,Recreatie (60799) - Bestuurder<br />Horeca (32868) - Bestuursvoorzitter
"Zier, Maarten Warnardus",P119687,1.0,206,262,Koopvaardij (11322) - Bestuurder
"Sung, June Doe (Jack)",P101019,1.0,NA,NA,Atradius (20269) - Bestuurder
"Gubbels, Josephus Eduard",P125369,1.0,206,921,AZL (60011) - Bestuurder
"Dorssen, Joyce Rafaële Eglantine van",P132267,1.0,206,509,ABN AMRO Bank (7113) - Bestuurder
"Deiters, Pieter Hendrik Maria",P130483,1.0,206,878,Shell (SSPF) (4634) - Bestuurder
"Vissers, Johannes Charles Elisabeth Marie",P120503,0.59,163,810,Ardagh (47068) - Bestuursvoorzitter<br />TDV (47985) - Bestuurder
"Bemd, Henricus Antonius Maria van den",P109670,1.0,NA,NA,McCain (60661) - Bestuursvoorzitter
"Campen, Willem Johannes van",P107456,1.0,206,1167,Consumentenbond (60754) - Bestuurder
"Fransen van de Putte, Johannes Justus",P117697,1.0,NA,NA,DSM (49417) - Bestuurder
"Vroom, Maartje Elisabeth de",P130437,1.0,206,669,Remia (60291) - Bestuurder
"Bakker, Alphons Johan Marie",P117720,1.0,206,813,Apothekers (4) - Bestuurder
"Wittkampf, Theodorus Antonius",P100908,1.0,206,1056,Loodswezen (60465) - Bestuurder
"Kiewiet, Marco",P110199,1.0,NA,NA,Smurfit Kappa Nederland (60806) - Mede-beleidsbepaler
"Guchte, Johannes Jacobus van de",P101997,1.0,NA,NA,McCain (60661) - Bestuurder
Neijenhuijs,P118807,0.5,172,360,Textielverzorging (32595) - Bestuursvoorzitter<br />Particuliere Beveiliging (60514) - Bestuurder
"Zwijnenburg, Ronald",P110130,1.0,206,701,Textielverzorging (32595) - Bestuurder
"Kappert, Harry",P109919,1.0,206,981,Brocacef (50018) - Bestuurder
"Popta, Klaas Benne van",P121257,0.484,132,124,Detailhandel (47678) - Bestuursvoorzitter<br />Metaal en Techniek (PMT) (10557) - Bestuurder
"Ligthart, Eliza (Loek)",P129411,1.0,206,1009,SCA Hygiene (60777) - Bestuursvoorzitter
"Vermeulen, Gijsbrecht Ferdinand",P103768,1.0,206,402,Schoonmaak- en Glazenwassers (42937) - Bestuurder
"Sirks, Gerardus Laurens",P112981,0.5,127,81,Betonproducten (15133) - Lid Raad van Toezicht<br />Kappersbedrijf (44380) - Bestuurder
"Tuyl, Johannes Matheus Maria van",P105859,1.0,206,1122,Achmea (60917) - Bestuurder
"Vollering, Franciscus Adrianus Maria",P114573,1.0,NA,NA,ERIKS  (4308) - Bestuurder
"Verlinde, Marcel",P116979,1.0,NA,NA,Chevron (5032) - Bestuurder
Maliepaard,P117872,1.0,206,1193,Huntsman Rozenburg (4343) - Bestuurder
"Kremers-de Col, Martha",P129507,1.0,206,525,Zeevisserij (36945) - Bestuurder
"Mensing, Willem Cornelis Johannes Jozef",P105525,1.0,NA,NA,Nielsen AC (22742) - Bestuurder
"Kraaijenoord-Willems, Saskia",P121074,1.0,206,617,Beroepsvervoer (33519) - Bestuurder
"Rosbergen, Johannes Matheus Catharina",P117995,1.0,NA,NA,Trespa (60887) - Bestuurder
"Tuk, Jacob",P127808,1.0,206,430,TrueBlue (60896) - Bestuurder
"Boers, Johannes Martinus Maria",P116270,1.0,206,849,ING (60668) - Bestuurder
"Wijbenga, Gerard",P113359,1.0,NA,NA,Royal Leerdam (60886) - Bestuurder
"Koning, Jacobus Nicolaas de",P112510,1.0,206,1062,Witteveen & Bos (60084) - Bestuurder
"Dijkstra, Sijbe",P118491,1.0,206,434,TrueBlue (60896) - Bestuurder
"Smit-Bos, Selma Betruda Pauline",P113193,0.952,193,718,ING Bank CDC fonds (R127942) - Mede-beleidsbepaler<br />NN CDC fonds (R127943) - Mede-beleidsbepaler
"Alphen, Hieronymus Marinus Bouke (Joeri) van",P126849,1.0,NA,NA,Delta Lloyd (16761) - Bestuurder
"Beer, Franciscus Johannes Maria de",P130928,1.0,206,456,Bouwmaterialen (16458) - Bestuurder
"Beek, Martijn Simon van",P110617,1.0,NA,NA,Alcatel-Lucent (60607) - Bestuurder
"Vredendaal, Wouter Jan van",P131844,1.0,206,599,Campina (60564) - Bestuurder
"Handels, Willem Jozef",P103946,1.0,206,944,Shell Nederland (SNPS) (60960) - Bestuurder
"Vernooij, Cornelius Alphonsus Gerardus",P130973,1.0,206,1125,Achmea (60917) - Lid Raad van Toezicht
"Hoedemaker, Franciscus Petrus",P121705,1.0,NA,NA,GE Artesia Bank (2585) - Bestuurder
"Groen, Jan",P113677,1.0,206,406,Zoetwarenindustrie (32436) - Bestuurder
"Oosterink, Willem Roelof",P123687,1.0,206,1051,Bibliotheken (17687) - Bestuurder
"Grizell, Johan Karel Frank",P110646,1.0,NA,NA,Provisum (5543) - Bestuurder
"Hoeven, Ralph Leonhard ter",P131364,1.0,206,1042,Deloitte (42569) - Bestuurder
"Schaafsma, Dorien",P131801,1.0,206,932,Wolters Kluwer  (60540) - Bestuurder
"Eng, Wilhelmus Cornelis Leonardus van der",P121304,1.0,NA,NA,Excedent 1987 (60448) - Bestuurder
"Jukema, Marten Edwert",P127034,1.0,206,216,STIPP (60792) - Bestuurder
"Swagerman, Dirk Marcel",P115154,0.609,180,156,Rijn- en Binnenvaart (20117) - Lid Raad van Toezicht<br />Koopvaardij (11322) - Lid Raad van Toezicht
"Duindam, Josephus Hendricus Maria",P104887,1.0,NA,NA,Provisum (5543) - Bestuurder
"Thomassen, Petrus Maria Johannes",P113416,1.0,NA,NA,Kuwait Petroleum Nederland (44) - Bestuursvoorzitter
"Knol, Hendrik",P117890,1.0,NA,NA,Cap Gemini  (60543) - Bestuursvoorzitter
"Michielse, Cornelis Adrianus Maria",P117369,1.0,206,66,KPN (60767) - Bestuurder
"Paassen - Mos, Viktorine Josephina Annegien van",P131443,1.0,206,996,Mn Services (608) - Bestuurder
"Ruis, Jan",P121094,1.0,206,146,Bouwnijverheid (10547) - Bestuursvoorzitter
"Shultz-Sibbel, Gerarda Martine Wilhelmina (Gerda)",P113917,1.0,206,592,Protector (1491) - Bestuurder
"Leegwater, Geertruida Alida Catharina (Geraldine)",P109779,0.341,42,135,ABN AMRO Bank (7113) - Bestuurder<br />ABP  (30) - Bestuurder<br />UWV (60889) - Lid Raad van Toezicht
"Boeschoten, Willem Cornelis",P130930,1.0,206,619,Beroepsvervoer (33519) - Lid Raad van Toezicht
"Bakels, Arnold",P127434,1.0,NA,NA,BP (60348) - Bestuurder
"Brink, Franciscus Antonius Maria ten",P108789,1.0,NA,NA,Provisum (5543) - Bestuurder
"Willemssen, Petronella (Nellie)",P122533,1.0,206,912,ANWB  (3691) - Bestuurder
"Ansink, Collin",P116490,1.0,206,524,Zeevisserij (36945) - Bestuurder
"Crucq, Franciscus Maria",P118199,1.0,206,426,Landbouw (10565) - Bestuurder
"Westerlaken, Adriana, Cornelia",P132445,1.0,206,1065,TNO (692) - Bestuurder
"Onzenoort, Marijtje van",P108502,1.0,NA,NA,MSD (50051) - Bestuurder
"Adriaans, Renier Marinus",P107977,1.0,206,785,Coram (60082) - Bestuurder
"Bruns, Laura Leonore",P100741,1.0,206,169,Betonproducten (15133) - Bestuurder
"Raemdonck, Tonie",P131015,1.0,NA,NA,Dow (48477) - Bestuurder
"Hienen, Adrianus Antonius van",P113091,0.487,89,158,Bouwmaterialen (16458) - Lid Raad van Toezicht<br />Bakkersbedrijf (10682) - Bestuurder
"Eldijk, Ronald van",P129753,1.0,206,1005,SCA Hygiene (60777) - Bestuurder
"Ruijgrok, Wim",P106371,1.0,NA,NA,Panteia (60513) - Bestuurder
"Werner, Erik Svend Ernst",P130484,1.0,206,881,Shell (SSPF) (4634) - Bestuurder
"Deen, Robert",P128730,1.0,NA,NA,Provisum (5543) - Bestuurder
"Dijkhuizen, Simon Pieter",P113867,1.0,NA,NA,Hewlett-Packard (60216) - Bestuurder
"Ravenstein, Michiel van",P117483,1.0,206,877,Vopak (60882) - Bestuursvoorzitter
"Venema, Mark Peter",P106003,1.0,206,977,Brocacef (50018) - Bestuurder
"Ottens, Johannes Zier",P127537,1.0,NA,NA,Vredestein Banden (60921) - Bestuurder
"Roodbol, Laurencius Johannes Maria",P121739,1.0,NA,NA,GE Artesia Bank (2585) - Bestuursvoorzitter
"Gele, Carl Ivan van",P126071,1.0,206,683,Kunststof- en Rubber (33708) - Bestuurder
"Heiden- Aantjes, Leentje Hendrika van der",P131094,1.0,206,420,Landbouw (10565) - Lid Raad van Toezicht
"Gunnewijk, Sjoerd",P110312,1.0,NA,NA,BP (60348) - Bestuursvoorzitter
"Jager, Arnoldus Nicolaas",P126056,0.47,108,537,Zuivel en aanverwante industrie (R129401) - Bestuursvoorzitter<br />Kunststof- en Rubber (33708) - Bestuursvoorzitter
"Kruijf, Johannes Antonius Maria de",P103760,1.0,206,581,UWV (60889) - Bestuurder
"Loon, Eric Jan",P116700,1.0,206,506,Media PNO  (1626) - Bestuurder
"Bugdayci-Karatas, Fatma",P123673,1.0,206,32,Agrarische (36722) - Bestuurder
"Melis, Danielle Adriana Maria",P130375,1.0,NA,NA,Medische Specialisten (3) - Lid Raad van Toezicht
"Ronde, Hendrik Aloysius de",P110052,1.0,206,725,Croda (60943) - Bestuurder
"Graaff, Jozina Andrea Willy de",P111716,1.0,206,404,Zoetwarenindustrie (32436) - Bestuurder
"Smouter, Willem Maarten",P121597,1.0,NA,NA,DuPont  (60697) - Bestuurder
"Vries, Han Cornelis de",P129846,1.0,206,545,Elsevier (50052) - Bestuurder
"Janssen, Els Hetty",P131038,1.0,NA,NA,BMS (60801) - Bestuursvoorzitter
"Steen, Paul van der",P132444,1.0,NA,NA,Philips (900) - Bestuurder
"Lems, Rene",P111006,1.0,NA,NA,TBI (60342) - Bestuurder
"Blaauw, Marco",P114448,1.0,NA,NA,DuPont  (60697) - Bestuurder
"Timmer, Gerrit Theodoor",P113001,1.0,NA,NA,ORTEC (60818) - Bestuurder
"Wouters-Vankan, Johanna Maria Elisabeth",P103741,1.0,NA,NA,Invista (60911) - Bestuurder
"Le Blanc, Lambertus Johannes Carolus Maria (Bart)",P124852,1.0,206,76,KPN (60767) - Bestuurder
"Martens, Albert Johannes",P100980,1.0,206,653,IKEA (60933) - Bestuurder
"Rinkel-Peeters, Tamara",P114908,1.0,206,1027,TOTAL (32489) - Bestuurder
"Hendriks, Jos",P116578,1.0,206,406,Zoetwarenindustrie (32436) - Bestuurder
"Strang, Henk-Jan Paul",P130965,0.199,4,1,Wonen (44381) - Voorzitter Raad van Toezicht<br />Vlakglas Verf (17571) - Lid Raad van Toezicht<br />Bloemen en Planten (60929) - Lid Raad van Toezicht<br />Waterbouw (14400) - Bestuurder<br />Agrarische (36722) - Lid Raad van Toezicht<br />Levensmiddelen (42467) - Voorzitter Raad van Toezicht
"Gielissen, Lucien Anton Nicolaas",P121891,1.0,206,678,IBM Nederland (60676) - Bestuurder
"Ooms, Eduard",P128310,1.0,206,997,Mn Services (608) - Bestuurder
"Meijs, Antonius Maria Christiaan",P120244,1.0,206,241,Detailhandel (47678) - Lid Raad van Toezicht
"Kruize, RA",P109832,1.0,NA,NA,General Electric  (60944) - Bestuurder
"Sluis, Corstiaan Christina van der",P120603,0.282,20,11,KPN (60767) - Bestuurder<br />Woningcorporaties (20118) - Bestuurder<br />SABIC (60891) - Bestuurder<br />Koopvaardij (11322) - Bestuurder
"Molenaar, Hendrikus Silvester",P109097,1.0,206,716,Security (60523) - Bestuurder
"Koning, Marjolein",P111063,1.0,NA,NA,Forbo (37681) - Bestuurder
"Uitvlugt - Manné, Danielle",P128555,1.0,NA,NA,Forbo (37681) - Bestuurder
"Harten, Gerrit Jan van",P106981,1.0,206,1006,SCA Hygiene (60777) - Bestuurder
"Ploeg, Roelf Kornelis van der",P131265,0.958,197,100,Vleeswaren Prepensionering (60755) - Bestuurder<br />Vleesindustrie (14311) - Bestuurder
"Have, Albert Gerhard ten",P118058,1.0,NA,NA,GE Artesia Bank (2585) - Bestuurder
"Akkerman, Albert Johannes",P107460,1.0,206,301,Metaal en Techniek (PMT) (10557) - Bestuurder
"Deetman, Egbert Jacob",P113814,1.0,NA,NA,Citigroup (41098) - Bestuurder
"Blom, Martin",P130197,1.0,NA,NA,Fluor Nederland (60123) - Bestuurder
"Haring, Elisabeth",P128802,1.0,NA,NA,Ernst & Young (6085) - Bestuurder
"Horst, Peter Gijsbert van der",P127476,1.0,206,261,Koopvaardij (11322) - Bestuurder
"Dijk, Roland Antonie Mario van",P125341,1.0,206,641,Stork (6172) - Bestuurder
"Ritterbex, Jan Jozef Louis",P126592,1.0,NA,NA,DuPont  (60697) - Bestuurder
"Cappelle, Karel Frederik van",P107247,1.0,NA,NA,Calpam (47162) - Bestuursvoorzitter
"Benten, Wouter Franciscus van",P125390,1.0,206,1025,Transport (5580) - Bestuurder
"Hendriks, Johannes Cornelis Maria",P118085,1.0,206,1041,Deloitte (42569) - Bestuurder
"Heijma, Athanasius",P121567,1.0,NA,NA,Unisys (60388) - Bestuurder
"Koning, Michiel Jacobus Martinus",P116527,1.0,206,282,Rijn- en Binnenvaart (20117) - Bestuurder
"Huigen, Johannes",P116104,1.0,NA,NA,Honeywell (14682) - Bestuurder
"Steenvoorden, Gerardus Johannes",P104860,1.0,206,222,Wonen (44381) - Bestuurder
"Kok, Berend Otto",P103010,1.0,206,267,Levensmiddelen Groothandel (34561) - Bestuurder
"Gooijer, Cornelis Nicolaas Jan Marco de",P102664,1.0,206,555,Sigarenindustrie (10560) - Bestuurder
"Sips, Josine",P125463,1.0,206,850,ING (60668) - Bestuurder
"Plas, Engelbertus Jacobus van der",P128408,1.0,NA,NA,Cargill (60294) - Bestuurder
Persijn,P117960,1.0,206,605,Openbaar Vervoer (60276) - Bestuurder
"Heineman, Boudewijn Pieter",P112058,1.0,206,268,Levensmiddelen Groothandel (34561) - Bestuurder
"Keijzers, Theodorus Gerardus Arnoldus",P126390,1.0,206,917,Blue Sky Group (60866) - Bestuurder
"Brink, Aart van den",P126862,0.279,10,13,Bouwnijverheid (10547) - Bestuurder<br />Waterbouw (14400) - Bestuurder<br />Woningcorporaties (20118) - Bestuurder<br />Zeevisserij (36945) - Bestuurder
"Zandt, Marcus Maria (Marc) van der",P100667,1.0,206,715,Security (60523) - Bestuurder
"Dassen-Soons, Charlotte",P125385,0.478,175,292,Schoen en Leder (11756) - Bestuursvoorzitter<br />Sigarenindustrie (10560) - Bestuurder
"Geerlings, Detlef Heiko Michael",P106971,1.0,NA,NA,Pensura (60899) - Bestuurder
"Veldhuis, Johannes Leonardus Hendrikus",P111414,1.0,206,1138,Ardagh (47068) - Bestuurder
"Bruggink, Albertus",P106196,1.0,NA,NA,Rabobank (37247) - Bestuursvoorzitter
"Oostveen, Jan Willem Gerard van",P131100,0.481,109,111,Houtverwerkende industrie (15629) - Lid Raad van Toezicht<br />Vlakglas Verf (17571) - Lid Raad van Toezicht
"Aa, Franciscus Theodoor van der",P117373,1.0,NA,NA,IFF (9873) - Bestuurder
"Pronk, Robert Johannes",P107323,1.0,206,1050,Bibliotheken (17687) - Bestuurder
"Hoorn, Louis Marie Henri Joseph van",P103742,1.0,206,1044,Deloitte (42569) - Bestuurder
"Elvers, Eric",P113192,1.0,206,530,Nederlandsche Bank (7837) - Bestuurder
"Steen, Lambertus Marinus Maria van der",P131049,1.0,NA,NA,Bavaria (60786) - Bestuurder
"Smolenaers, Albert Henricus Dorothea",P131093,1.0,206,422,Landbouw (10565) - Lid Raad van Toezicht
"Grashoff, Martin",P114871,1.0,206,854,Hewitt Nederland (39775) - Bestuurder
Prosman,P117104,1.0,206,225,Wonen (44381) - Bestuurder
"Steijaert, Andre August Marie",P102090,0.29,59,22,Wonen (44381) - Bestuurder<br />Groothandel (42049) - Bestuurder<br />Drankindustrie (30355) - Bestuurder<br />Kappersbedrijf (44380) - Bestuurder
"Rooijen, A.B.J. van",P124925,1.0,NA,NA,Citigroup (41098) - Bestuurder
"Wouterson, Jerry Marc",P103593,1.0,NA,NA,AFM (60961) - Bestuurder
"Mangelmans, Reinoud Wilhelmus Laurentius Maria",P100091,1.0,NA,NA,Philips (900) - Bestuurder
"Rennen, Petrus Antonius Maria",P104314,1.0,NA,NA,DSM (49417) - Bestuurder
"Sintemaartensdijk, Richard van",P129848,1.0,206,1004,SCA Hygiene (60777) - Bestuurder
"Lindaart, Harm Jan",P130166,1.0,NA,NA,BP (60348) - Bestuurder
"Jong, Wicher de",P129807,1.0,NA,NA,Ecolab (60845) - Bestuurder
"Kok, André Wouterus Maria",P107156,1.0,206,585,UWV (60889) - Bestuurder
"Heuven-van Kats, Aleida Cornelia Maria van",P111733,1.0,206,898,Dierenartsen (9) - Bestuurder
"Bakker, Rutgerus Leonardus Petrus",P118608,1.0,206,948,ARCADIS Nederland (2607) - Bestuurder
"Neumann, Nathalie Odette",P128821,1.0,NA,NA,Telegraaf (11492) - Bestuurder
"Rijn, Diederik Gijsbert van",P131476,1.0,NA,NA,Allianz Nederland (46210) - Bestuurder
"Knapper, Kunno Hendrik",P111777,1.0,206,1074,Nedlloyd (47121) - Bestuurder
"Paauw, Jan Antonius",P131704,1.0,NA,NA,Smurfit Nederland (60713) - Bestuurder
"Berg, Pieter Joseph Marie van den",P117496,1.0,206,1174,Huisartsen  (1) - Bestuurder
"Rosenberg, Marcus Henricus",P113791,0.329,55,43,"Landbouw (10565) - Bestuurder<br />Woningcorporaties (20118) - Bestuurder<br />Schilders-, Afwerkings- en Glaszetbedrijf (10549) - Bestuurder"
"Movig, Søren Ludvig",P130228,1.0,206,677,IBM Nederland (60676) - Bestuurder
"Wit, Richard Cornelis de",P106172,1.0,206,856,Unirobe Meeus (60171) - Bestuurder
"Werf-de Koning, Catharina Maria van der",P100240,0.493,77,140,"Pensioenfederatie  (12345) - Bestuurder<br />Schilders-, Afwerkings- en Glaszetbedrijf (10549) - Bestuurder"
"Bisschop, Orpa",P116508,0.521,140,667,Blue Sky Group (60866) - Bestuursvoorzitter<br />Grafische Bedrijven (PGB) (14089) - Lid Raad van Toezicht
"Beurskens, Joost Jacobus Marie",P130823,1.0,NA,NA,Royal Leerdam (60886) - Bestuurder
"Theunissen, Arthur Jan Elisabeth Joseph",P128816,1.0,206,1199,Heinz (7158) - Bestuursvoorzitter
"Hennepe, Simon te",P112706,1.0,206,1184,Ten Cate (60019) - Bestuurder
"Kruijk, Richard Peter van der",P129562,0.958,197,99,Vleeswaren Prepensionering (60755) - Bestuurder<br />Vleesindustrie (14311) - Bestuurder
"Kestens, Johannes Christoffel Antonius",P119873,0.491,147,79,Particuliere Beveiliging (60514) - Bestuursvoorzitter<br />Woningcorporaties (20118) - Bestuurder
"Veenhuizen, Johan Paulus",P126378,1.0,206,386,Medewerkers Apotheken (15565) - Bestuurder
"Luijk, Marc van",P123679,0.158,8,520,Deloitte (42569) - Bestuurder<br />SCA Hygiene (60777) - Accountant<br />TOTAL (32489) - Accountant<br />Witteveen & Bos (60084) - Accountant<br />Elsevier (50052) - Accountant<br />Mn Services (608) - Accountant
"Koning, Herman Dirk",P101486,1.0,NA,NA,Fracties (60898) - Bestuurder
"Veld, Caroline Marianne in 't",P131569,1.0,206,1198,Heinz (7158) - Bestuurder
"Weijel, Paul",P108610,1.0,206,591,Protector (1491) - Bestuurder
"Riele, Paul Hendrikus Maria te",P131071,1.0,206,769,Urenco (60592) - Bestuurder
"Wilson, Peggy Mildred Beatrice (Peggy)",P101071,0.212,6,198,NN CDC fonds (R127943) - Bestuurder<br />Zorgverzekeraars (23361) - Bestuurder<br />ING (60668) - Bestuurder<br />Pensioenfederatie (12345) - Bestuurder<br />Grafische Bedrijven (PGB) (14089) - Bestuurder
"Groot, Nicolaas",P109123,1.0,NA,NA,Heineken (1757) - Bestuurder
"Blocq, Benjamin",P114842,1.0,206,1039,SNS Reaal  (60701) - Bestuurder
