Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Driessen, Christiaan Clement Hubertus Johannes",P114891,1.0,206,110,Vleesindustrie (14311) - Bestuurder
"Schepen, Jacob Roland",P112675,1.0,206,540,Elsevier (50052) - Bestuursvoorzitter
"Hall, Alphonsus Maria van der",P102348,1.0,NA,NA,Atradius (20269) - Bestuursvoorzitter
"Ree, Johannes Hendrikus Maria (Hans) van",P123785,1.0,NA,NA,Fracties (60898) - Bestuurder
"Pleijsier, Marcel Klaas Jan Willem",P126177,1.0,NA,NA,Royal Leerdam (60886) - Bestuurder
"Berg, A.L.W. van den",P130288,1.0,206,273,"Schilders-, Afwerkings- en Glaszetbedrijf (10549) - Bestuurder"
"Viring, Ronald",P102570,1.0,NA,NA,Will Niemeijer (13579) - Bestuurder
"Hompe, Gijsbert Willem",P105982,1.0,206,555,Sigarenindustrie (10560) - Bestuursvoorzitter
"Anker, Pieter Burg",P123784,1.0,206,611,Openbaar Vervoer (60276) - Bestuurder
"Osch, Jan-Maarten van",P130841,1.0,206,77,KPN (60767) - Bestuurder
"Tromp, Amasja Moon Sook Ne tal",P111847,1.0,206,979,Brocacef (50018) - Bestuurder
"Louw, Garmt Johan Ageruurd",P117710,0.657,204,846,Shell Nederland (SNPS) (60960) - Bestuursvoorzitter<br />Shell (SSPF) (4634) - Bestuursvoorzitter
"Roodenburg, Robert",P122503,1.0,206,152,Bloemen en Planten (60929) - Bestuurder
"Lingen, Ronald ter",P112272,1.0,206,772,KLM Vliegend Personeel (2200) - Bestuurder
"Ramaekers, Matheus Wilhelmus",P109819,1.0,NA,NA,Ernst & Young (6085) - Bestuurder
"Nijman, Johannes Petrus Simon Ignatius",P114127,1.0,206,790,Transavia Grond- en Cabinepersoneel (M0003) - Bestuursvoorzitter
"Holthuis, Anthonius Wilhelmus Maria",P105933,1.0,NA,NA,Lloyd's Register (50560) - Bestuursvoorzitter
"Smith, Bert Nico",P109504,1.0,206,200,Waterbouw (14400) - Voorzitter Raad van Toezicht
"Pluijm, Gerardus Wilhelmus Johannes maria van der",P105315,1.0,206,366,Banden- en Wielen (60374) - Bestuurder
"Hartman, Joris Herman",P103893,NA,NA,NA,Ford Nederland (4335) - Bestuurder
"Heiningen, Gerardus Petrus Theodorus van",P132276,1.0,206,460,Bouwmaterialen (16458) - Bestuurder
Silven-Keijzer,P116505,1.0,206,920,Blue Sky Group (60866) - Bestuurder
"Horlings, Wubbe Harm",P130175,1.0,206,661,Robeco (51180) - Bestuurder
